,node,strategy,action_vector,neighbors,degree,target,avail_letters,letters_needed,global_time,action_number,action,action_success,words_formed_bool_local,words_formed_local,possible_words,prop_formed_local,words_formed_global,prop_formed_global,node_count
0,0,altruistic,[0.1 0.2 0.4 0.3],"[1, 2, 3, 4]",4,again,"['f', 'l', 'm', 'i', 'j']",['a' 'g' 'n'],1,1,think,True,0,0,600,0.0,0,0.0,5
0,1,altruistic,[0.1 0.2 0.4 0.3],"[0, 2, 3]",3,small,"['l', 'f', 'p', 'a', 'q']",['m' 's'],2,1,pass,True,0,0,600,0.0,0,0.0,5
0,2,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 3, 4]",4,going,"['b', 'm', 'h', 'n', 'g', 'i', 'f']",['o'],3,1,steal,True,0,0,600,0.0,0,0.0,5
0,3,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 2, 4]",4,along,"['z', 's', 'u', 'f', 's']",['a' 'g' 'l' 'n' 'o'],4,1,think,True,0,0,600,0.0,0,0.0,5
0,4,selfish,[0.1 0.4 0.2 0.3],"[0, 2, 3]",3,shall,"['u', 'l', 'k', 'o', 's']",['a' 'h'],5,1,think,True,0,0,600,0.0,0,0.0,5
0,0,altruistic,[0.1 0.2 0.4 0.3],"[1, 2, 3, 4]",4,again,"['f', 'l', 'm', 'i', 'j']",['a' 'g' 'n'],6,2,think,True,0,0,600,0.0,0,0.0,5
0,1,altruistic,[0.1 0.2 0.4 0.3],"[0, 2, 3]",3,small,"['l', 'f', 'p', 'a', 'q']",['m' 's'],7,2,form,False,0,0,600,0.0,0,0.0,5
0,2,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 3, 4]",4,going,"['b', 'm', 'h', 'n', 'g', 'i', 'f']",['o'],8,2,pass,True,0,0,600,0.0,0,0.0,5
0,3,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 2, 4]",4,along,"['z', 's', 'u', 'f', 's']",['a' 'g' 'l' 'n' 'o'],9,2,think,True,0,0,600,0.0,0,0.0,5
0,4,selfish,[0.1 0.4 0.2 0.3],"[0, 2, 3]",3,shall,"['u', 'l', 'k', 'o', 's']",['a' 'h'],10,2,form,False,0,0,600,0.0,0,0.0,5
0,0,altruistic,[0.1 0.2 0.4 0.3],"[1, 2, 3, 4]",4,again,"['f', 'l', 'm', 'i', 'j', 'b']",['a' 'g' 'n'],11,3,form,False,0,0,600,0.0,0,0.0,5
0,1,altruistic,[0.1 0.2 0.4 0.3],"[0, 2, 3]",3,small,"['l', 'f', 'p', 'a', 'q', 's']",['m'],12,3,steal,True,0,0,600,0.0,0,0.0,5
0,2,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 3, 4]",4,going,"['b', 'm', 'h', 'n', 'g', 'i', 'f']",['o'],13,3,pass,True,0,0,600,0.0,0,0.0,5
0,3,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 2, 4]",4,along,"['z', 's', 'u', 'f', 's']",['a' 'g' 'l' 'n' 'o'],14,3,pass,True,0,0,600,0.0,0,0.0,5
0,4,selfish,[0.1 0.4 0.2 0.3],"[0, 2, 3]",3,shall,"['u', 'l', 'k', 'o', 's']",['a' 'h'],15,3,pass,True,0,0,600,0.0,0,0.0,5
0,0,altruistic,[0.1 0.2 0.4 0.3],"[1, 2, 3, 4]",4,again,"['f', 'l', 'm', 'i', 'j', 'a', 'b', 'n', 's', 's']",['g'],16,4,steal,True,0,0,600,0.0,0,0.0,5
0,1,altruistic,[0.1 0.2 0.4 0.3],"[0, 2, 3]",3,small,"['l', 'f', 'p', 'a', 'q', 's']",['m'],17,4,think,True,0,0,600,0.0,0,0.0,5
0,2,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 3, 4]",4,going,"['b', 'm', 'h', 'n', 'g', 'i', 'o', 'f']",[],18,4,steal,True,0,0,600,0.0,0,0.0,5
0,3,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 2, 4]",4,along,"['z', 's', 'u', 'f', 's']",['a' 'g' 'l' 'n' 'o'],19,4,form,False,0,0,600,0.0,0,0.0,5
0,4,selfish,[0.1 0.4 0.2 0.3],"[0, 2, 3]",3,shall,"['u', 'l', 'k', 'o', 's']",['a' 'h'],20,4,pass,True,0,0,600,0.0,0,0.0,5
