,node,strategy,action_vector,neighbors,degree,target,avail_letters,letters_needed,global_time,action_number,action,action_success,words_formed_bool_local,words_formed_local,possible_words,prop_formed_local,words_formed_global,prop_formed_global,node_count
0,0,altruistic,[0.1 0.2 0.4 0.3],"[2, 5, 6, 9]",4,there,"['f', 'l', 'm', 'i', 'j']",['e' 'h' 'r' 't'],1,1,form,False,0,0,3620,0.0,0,0.0,10
0,1,selfish,[0.1 0.4 0.2 0.3],"[2, 3, 4, 5, 6, 7, 8, 9]",8,their,"['l', 'f', 'p', 'a', 'q', 'h']",['e' 'i' 'r' 't'],2,1,steal,True,0,0,3620,0.0,0,0.0,10
0,2,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 4, 5, 6, 7, 8]",7,about,"['b', 'm', 'h', 'n', 'g']",['a' 'o' 't' 'u'],3,1,pass,True,0,0,3620,0.0,0,0.0,10
0,3,altruistic,[0.1 0.2 0.4 0.3],"[1, 5, 7, 8]",4,these,"['z', 's', 'u', 'f', 's', 'e']",['h' 't'],4,1,steal,True,0,0,3620,0.0,0,0.0,10
0,4,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 5, 6]",4,other,"['u', 'l', 'k', 'o', 's']",['e' 'h' 'r' 't'],5,1,think,True,0,0,3620,0.0,0,0.0,10
0,5,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 2, 3, 4, 6, 9]",7,write,"['e', 'x', 'x', 'j', 'r']",['i' 't' 'w'],6,1,pass,True,0,0,3620,0.0,0,0.0,10
0,6,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 2, 4, 5, 8, 9]",7,first,"['x', 'a', 'w', 'n', 'j']",['f' 'i' 'r' 's' 't'],7,1,think,True,0,0,3620,0.0,0,0.0,10
0,7,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 3, 8]",4,water,"['j', 'h', 'w', 'z', 'b']",['a' 'e' 'r' 't'],8,1,think,True,0,0,3620,0.0,0,0.0,10
0,8,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 3, 6, 7]",5,after,"['a', 'r', 'i', 'y', 'n']",['e' 'f' 't'],9,1,think,True,0,0,3620,0.0,0,0.0,10
0,9,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 5, 6]",4,where,"['t', 'p', 'k', 'z', 'i', 'w']",['e' 'h' 'r'],10,1,steal,True,0,0,3620,0.0,0,0.0,10
0,0,altruistic,[0.1 0.2 0.4 0.3],"[2, 5, 6, 9]",4,there,"['f', 'l', 'm', 'i', 'j', 'h', 'g']",['e' 'r' 't'],11,2,steal,True,0,0,3620,0.0,0,0.0,10
0,1,selfish,[0.1 0.4 0.2 0.3],"[2, 3, 4, 5, 6, 7, 8, 9]",8,their,"['l', 'f', 'p', 'a', 'q', 'h', 'i', 'j']",['e' 'r' 't'],12,2,steal,True,0,0,3620,0.0,0,0.0,10
0,2,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 4, 5, 6, 7, 8]",7,about,"['b', 'm', 'h', 'n', 'g']",['a' 'o' 't' 'u'],13,2,form,False,0,0,3620,0.0,0,0.0,10
0,3,altruistic,[0.1 0.2 0.4 0.3],"[1, 5, 7, 8]",4,these,"['z', 's', 'u', 'f', 's', 'e']",['h' 't'],14,2,think,True,0,0,3620,0.0,0,0.0,10
0,4,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 5, 6]",4,other,"['u', 'l', 'k', 'o', 's']",['e' 'h' 'r' 't'],15,2,steal,True,0,0,3620,0.0,0,0.0,10
0,5,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 2, 3, 4, 6, 9]",7,write,"['e', 'x', 'x', 'j', 'r']",['i' 't' 'w'],16,2,form,False,0,0,3620,0.0,0,0.0,10
0,6,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 2, 4, 5, 8, 9]",7,first,"['x', 'a', 'w', 'n', 'j']",['f' 'i' 'r' 's' 't'],17,2,pass,True,0,0,3620,0.0,0,0.0,10
0,7,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 3, 8]",4,water,"['j', 'h', 'w', 'z', 'b']",['a' 'e' 'r' 't'],18,2,think,True,0,0,3620,0.0,0,0.0,10
0,8,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 3, 6, 7]",5,after,"['a', 'r', 'i', 'y', 'n', 'f']",['e' 't'],19,2,steal,True,0,0,3620,0.0,0,0.0,10
0,9,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 5, 6]",4,where,"['t', 'p', 'k', 'z', 'i', 'w']",['e' 'h' 'r'],20,2,pass,True,0,0,3620,0.0,0,0.0,10
0,0,altruistic,[0.1 0.2 0.4 0.3],"[2, 5, 6, 9]",4,there,"['f', 'l', 'm', 'i', 'j', 'h', 'x']",['e' 'r' 't'],21,3,pass,True,0,0,3620,0.0,0,0.0,10
0,1,selfish,[0.1 0.4 0.2 0.3],"[2, 3, 4, 5, 6, 7, 8, 9]",8,their,"['l', 'f', 'p', 'a', 'q', 'h', 'i', 'r', 'j']",['e' 't'],22,3,steal,True,0,0,3620,0.0,0,0.0,10
0,2,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 4, 5, 6, 7, 8]",7,about,"['b', 'm', 'h', 'n', 'g']",['a' 'o' 't' 'u'],23,3,pass,True,0,0,3620,0.0,0,0.0,10
0,3,altruistic,[0.1 0.2 0.4 0.3],"[1, 5, 7, 8]",4,these,"['z', 's', 'u', 'f', 's']",['e' 'h' 't'],24,3,pass,True,0,0,3620,0.0,0,0.0,10
0,4,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 5, 6]",4,other,"['u', 'l', 'k', 'o', 's']",['e' 'h' 'r' 't'],25,3,pass,True,0,0,3620,0.0,0,0.0,10
0,5,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 2, 3, 4, 6, 9]",7,write,"['e', 'x', 'x', 'j', 'r', 'w', 'i', 'g']",['t'],26,3,steal,True,0,0,3620,0.0,0,0.0,10
0,6,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 2, 4, 5, 8, 9]",7,first,"['x', 'a', 'w', 'n', 'j']",['f' 'i' 'r' 's' 't'],27,3,think,True,0,0,3620,0.0,0,0.0,10
0,7,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 3, 8]",4,water,"['j', 'h', 'w', 'z', 'b']",['a' 'e' 'r' 't'],28,3,pass,True,0,0,3620,0.0,0,0.0,10
0,8,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 3, 6, 7]",5,after,"['a', 'r', 'i', 'y', 'n', 'f']",['e' 't'],29,3,steal,True,0,0,3620,0.0,0,0.0,10
0,9,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 5, 6]",4,where,"['t', 'p', 'k', 'z', 'i', 'w']",['e' 'h' 'r'],30,3,think,True,0,0,3620,0.0,0,0.0,10
0,0,altruistic,[0.1 0.2 0.4 0.3],"[2, 5, 6, 9]",4,there,"['f', 'l', 'm', 'i', 'j', 'x', 'n']",['e' 'h' 'r' 't'],31,4,pass,True,0,0,3620,0.0,0,0.0,10
