,node,strategy,action_vector,neighbors,degree,target,avail_letters,letters_needed,global_time,action_number,action,action_success,words_formed_bool,words_formed
0,8,altruistic,[0.1 0.2 0.4 0.3],"[3, 6]",2,after,"['a', 'r', 'i', 'y', 'n', 'e', 't', 'x', 'j', 'w', 'f']",[],309,31,steal,False,0,0
0,9,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 5, 6]",4,earth,"['t', 'p', 'k', 'z', 'i', 'r', 'e', 'h', 'a', 'j', 'f', 'b', 'n', 'w']",[],310,31,pass,True,0,1
0,0,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 3, 4, 5, 7]",6,while,"['f', 'l', 'm', 'i', 'j', 'k', 'b', 'u', 'w', 'q', 'x', 'h', 'o', 'p', 'z', 'g']",['e'],311,32,pass,True,0,4
0,1,altruistic,[0.1 0.2 0.4 0.3],"[0, 4, 5, 6, 7, 9]",6,their,"['l', 'f', 'p', 'a', 'q', 't', 'r', 'e', 'x', 'n', 'h', 'w', 'j', 'z', 's', 'b', 'i', 'k', 'm', 'u', 'o']",[],312,32,think,True,0,0
0,2,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 9]",4,along,"['b', 'm', 'h', 'n', 'g', 'a', 'o', 'p', 'j', 'l', 's', 'i', 'f', 'k']",[],313,32,think,True,0,1
0,3,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 7, 8]",5,share,"['z', 's', 'u', 'f', 's', 'r', 'e', 'n', 'i', 'w', 'j', 'b', 'a']",['h'],314,32,think,True,0,2
0,4,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 2, 3]",4,other,"['u', 'l', 'k', 'o', 's', 'r', 'h', 'e', 'f', 'm', 'g', 'a', 'n', 'q', 'b', 'p']",['t'],315,32,think,True,0,0
0,5,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 2, 3, 7, 9]",6,relax,"['e', 'x', 'x', 'j', 'r', 'a', 'l', 'z', 'h', 'b', 'w', 'k', 'f']",[],316,32,steal,True,0,3
0,6,altruistic,[0.1 0.2 0.4 0.3],"[1, 7, 8, 9]",4,final,"['x', 'a', 'w', 'n', 'j', 'l', 'i', 'f']",[],317,32,steal,False,0,1
0,7,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 3, 5, 6]",5,heart,"['j', 'h', 'w', 'z', 'b', 'r', 't', 'e', 'a', 'x', 'f', 'n', 'l']",[],318,32,steal,True,0,1
