,node,strategy,action_vector,neighbors,degree,target,avail_letters,letters_needed,global_time,action_number,action,action_success,words_formed_bool,words_formed
0,9,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 5, 6]",4,earth,"['t', 'p', 'k', 'z', 'i', 'r', 'e', 'h', 'a', 'j', 'f']",[],220,22,steal,False,0,1
0,0,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 3, 4, 5, 7]",6,means,"['f', 'l', 'm', 'i', 'j', 'a', 'e', 'k', 'b', 'u', 'w', 'n', 'q', 'x', 'h', 'o']",['s'],221,23,steal,True,0,3
0,1,altruistic,[0.1 0.2 0.4 0.3],"[0, 4, 5, 6, 7, 9]",6,their,"['l', 'f', 'p', 'a', 'q', 't', 'r', 'x', 'n', 'h', 'w', 'j', 'z', 's', 'b', 'i', 'k', 'm']",['e'],222,23,pass,True,0,0
0,2,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 9]",4,along,"['b', 'm', 'h', 'n', 'g', 'a', 'o', 'p', 'j', 'l', 's', 'i', 'f']",[],223,23,pass,True,0,1
0,3,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 7, 8]",5,fresh,"['z', 's', 'u', 'f', 's', 'e', 'h', 'n', 'r', 'i', 'w', 'j', 'b', 'a']",[],224,23,steal,False,0,1
0,4,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 2, 3]",4,other,"['u', 'l', 'k', 'o', 's', 'r', 'h', 'f', 'm', 'g', 'a', 'n', 'q', 'b']",['e' 't'],225,23,form,False,0,0
0,5,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 2, 3, 7, 9]",6,fixer,"['e', 'x', 'x', 'j', 'r', 'i', 'l', 'f', 'z', 'h']",[],226,23,think,True,0,1
0,6,altruistic,[0.1 0.2 0.4 0.3],"[1, 7, 8, 9]",4,first,"['x', 'a', 'w', 'n', 'j', 'f', 't', 'r', 's', 'i', 'l']",[],227,23,think,True,0,0
0,7,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 3, 5, 6]",5,heart,"['j', 'h', 'w', 'z', 'b', 'r', 'x', 'f']",['a' 'e' 't'],228,23,pass,True,0,1
0,8,altruistic,[0.1 0.2 0.4 0.3],"[3, 6]",2,after,"['a', 'r', 'i', 'y', 'n', 'e', 't', 'x', 'j', 'w']",['f'],229,23,pass,True,0,0
0,9,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 5, 6]",4,earth,"['t', 'p', 'k', 'z', 'i', 'r', 'e', 'h', 'a', 'j', 'f']",[],230,23,think,True,0,1
0,0,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 3, 4, 5, 7]",6,means,"['f', 'l', 'm', 'i', 'j', 'a', 'e', 'k', 'b', 'u', 'w', 'n', 'q', 'x', 'h', 'o', 'p', 'z']",['s'],231,24,think,True,0,3
0,1,altruistic,[0.1 0.2 0.4 0.3],"[0, 4, 5, 6, 7, 9]",6,their,"['l', 'f', 'p', 'a', 'q', 't', 'r', 'x', 'n', 'h', 'w', 'j', 'z', 's', 'b', 'i', 'k', 'm']",['e'],232,24,think,True,0,0
0,2,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 9]",4,along,"['b', 'm', 'h', 'n', 'g', 'a', 'o', 'p', 'j', 'l', 's', 'i', 'f']",[],233,24,think,True,0,1
0,3,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 7, 8]",5,share,"['z', 's', 'u', 'f', 's', 'n', 'i', 'w', 'j', 'b', 'a']",['e' 'h' 'r'],234,24,form,True,1,2
0,4,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 2, 3]",4,other,"['u', 'l', 'k', 'o', 's', 'r', 'h', 'f', 'm', 'g', 'a', 'n', 'q', 'b']",['e' 't'],235,24,pass,True,0,0
0,5,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 2, 3, 7, 9]",6,fixer,"['e', 'x', 'x', 'j', 'r', 'i', 'l', 'f', 'z', 'h']",[],236,24,think,True,0,1
0,6,altruistic,[0.1 0.2 0.4 0.3],"[1, 7, 8, 9]",4,first,"['x', 'a', 'w', 'n', 'j', 'f', 't', 'r', 's', 'i', 'l']",[],237,24,pass,True,0,0
0,7,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 3, 5, 6]",5,heart,"['j', 'h', 'w', 'z', 'b', 'r', 'x', 'f', 'n']",['a' 'e' 't'],238,24,pass,True,0,1
0,8,altruistic,[0.1 0.2 0.4 0.3],"[3, 6]",2,after,"['a', 'r', 'i', 'y', 'n', 'e', 't', 'x', 'j', 'w']",['f'],239,24,think,True,0,0
0,9,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 5, 6]",4,earth,"['t', 'p', 'k', 'z', 'i', 'r', 'e', 'h', 'a', 'j', 'f']",[],240,24,steal,False,0,1
0,0,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 3, 4, 5, 7]",6,means,"['f', 'l', 'm', 'i', 'j', 'a', 'e', 's', 'k', 'b', 'u', 'w', 'n', 'q', 'x', 'h', 'o', 'p', 'z']",[],241,25,steal,True,0,3
0,1,altruistic,[0.1 0.2 0.4 0.3],"[0, 4, 5, 6, 7, 9]",6,their,"['l', 'f', 'p', 'a', 'q', 't', 'r', 'x', 'n', 'h', 'w', 'j', 'z', 's', 'b', 'i', 'k', 'm']",['e'],242,25,pass,True,0,0
0,2,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 9]",4,along,"['b', 'm', 'h', 'n', 'g', 'a', 'o', 'p', 'j', 'l', 's', 'i', 'f', 'k']",[],243,25,think,True,0,1
0,3,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 7, 8]",5,share,"['z', 's', 'u', 'f', 's', 'n', 'i', 'w', 'j', 'b', 'a']",['e' 'h' 'r'],244,25,pass,True,0,2
0,4,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 2, 3]",4,other,"['u', 'l', 'k', 'o', 's', 'r', 'h', 'f', 'm', 'g', 'a', 'n', 'q', 'b']",['e' 't'],245,25,form,False,0,0
0,5,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 2, 3, 7, 9]",6,fixer,"['e', 'x', 'x', 'j', 'r', 'i', 'l', 'f', 'z', 'h', 'a', 's']",[],246,25,steal,False,0,1
0,6,altruistic,[0.1 0.2 0.4 0.3],"[1, 7, 8, 9]",4,first,"['x', 'a', 'w', 'n', 'j', 'f', 't', 'r', 's', 'i', 'l']",[],247,25,think,True,0,0
0,7,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 3, 5, 6]",5,heart,"['j', 'h', 'w', 'z', 'b', 'r', 'x', 'f', 'n']",['a' 'e' 't'],248,25,pass,True,0,1
0,8,altruistic,[0.1 0.2 0.4 0.3],"[3, 6]",2,after,"['a', 'r', 'i', 'y', 'n', 'e', 't', 'x', 'j', 'w']",['f'],249,25,pass,True,0,0
0,9,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 5, 6]",4,earth,"['t', 'p', 'k', 'z', 'i', 'r', 'e', 'h', 'a', 'j', 'f']",[],250,25,steal,False,0,1
0,0,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 3, 4, 5, 7]",6,means,"['f', 'l', 'm', 'i', 'j', 'a', 'e', 's', 'k', 'b', 'u', 'w', 'n', 'q', 'x', 'h', 'o', 'p', 'z']",[],251,26,think,True,0,3
0,1,altruistic,[0.1 0.2 0.4 0.3],"[0, 4, 5, 6, 7, 9]",6,their,"['l', 'f', 'p', 'a', 'q', 't', 'r', 'x', 'n', 'h', 'w', 'j', 'z', 's', 'b', 'i', 'k', 'm']",['e'],252,26,pass,True,0,0
0,2,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 9]",4,along,"['b', 'm', 'h', 'n', 'g', 'a', 'o', 'p', 'j', 'l', 's', 'i', 'f', 'k']",[],253,26,steal,False,0,1
0,3,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 7, 8]",5,share,"['z', 's', 'u', 'f', 's', 'r', 'n', 'i', 'w', 'j', 'b', 'a']",['e' 'h'],254,26,steal,True,0,2
0,4,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 2, 3]",4,other,"['u', 'l', 'k', 'o', 's', 'r', 'h', 'f', 'm', 'g', 'a', 'n', 'q', 'b']",['e' 't'],255,26,pass,True,0,0
0,5,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 2, 3, 7, 9]",6,fixer,"['e', 'x', 'x', 'j', 'r', 'i', 'l', 'f', 'z', 'h', 'a', 's', 'b']",[],256,26,think,True,0,1
0,6,altruistic,[0.1 0.2 0.4 0.3],"[1, 7, 8, 9]",4,final,"['x', 'a', 'w', 'n', 'j', 'l']",['f' 'i'],257,26,form,True,1,1
0,7,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 3, 5, 6]",5,heart,"['j', 'h', 'w', 'z', 'b', 'r', 'x', 'f', 'n', 'l']",['a' 'e' 't'],258,26,pass,True,0,1
0,8,altruistic,[0.1 0.2 0.4 0.3],"[3, 6]",2,after,"['a', 'r', 'i', 'y', 'n', 'e', 't', 'x', 'j', 'w']",['f'],259,26,think,True,0,0
0,9,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 5, 6]",4,earth,"['t', 'p', 'k', 'z', 'i', 'r', 'e', 'h', 'a', 'j', 'f']",[],260,26,steal,False,0,1
0,0,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 3, 4, 5, 7]",6,means,"['f', 'l', 'm', 'i', 'j', 'a', 'e', 's', 'k', 'b', 'u', 'w', 'n', 'q', 'x', 'h', 'o', 'p', 'z']",[],261,27,steal,False,0,3
0,1,altruistic,[0.1 0.2 0.4 0.3],"[0, 4, 5, 6, 7, 9]",6,their,"['l', 'f', 'p', 'a', 'q', 't', 'r', 'x', 'n', 'h', 'w', 'j', 'z', 's', 'b', 'i', 'k', 'm', 'u']",['e'],262,27,think,True,0,0
0,2,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 9]",4,along,"['b', 'm', 'h', 'n', 'g', 'a', 'o', 'p', 'j', 'l', 's', 'i', 'f', 'k']",[],263,27,pass,True,0,1
